Size		Ins. Sort W	Ins. Sort B	Quick Sort W	Quick Sort B	Bucket Sort	Radix Sort	Counting Sort	Heap Sort	Select Algo.
8	 	0.000002 	0.000001	0.000001 	0.000001	0.000005	0.000012	0.000006	0.000003          	0.000004
16	 	0.000002 	0.000001	0.000003 	0.000001	0.000007	0.000020	0.000006	0.000005          	0.000005
32	 	0.000005 	0.000001	0.000008 	0.000001	0.000012	0.000059	0.000006	0.000012               	0.000007
64	 	0.000013 	0.000001	0.000016 	0.000002	0.000028	0.000070	0.000008	0.000026                              	0.000023
128	 	0.000046 	0.000002	0.000039 	0.000002	0.000053	0.000135	0.000011	0.000057                    	0.000036
256	 	0.000157 	0.000004	0.000078 	0.000004	0.000096	0.000303	0.000020	0.000164                                        	0.000127
512	 	0.000807 	0.000010	0.000224 	0.000009	0.000198	0.000529	0.000024	0.000304                                             	0.000286
1024	 	0.002533 	0.000014	0.000407 	0.000016	0.000257	0.000312	0.000012	0.000188                                                  	0.000275
2048	 	0.002987 	0.000008	0.000261 	0.000012	0.000558	0.000660	0.000023	0.000410                                             	0.000880
4096	 	0.012304 	0.000016	0.000579 	0.000017	0.001306	0.001331	0.000044	0.000888                                                       	0.003357
8192	 	0.047211 	0.000033	0.001188 	0.000050	0.006464	0.004131	0.000143	0.002765                                                                 	0.019727
16384	 	0.197006 	0.000070	0.002666 	0.000080	0.022783	0.005638	0.000180	0.004270                                                                 	0.051289
32768	 	0.772486 	0.000129	0.005539 	0.000130	0.111777	0.010265	0.000372	0.009021                                                                      	0.203170
65536	 	2.992380 	0.000259	0.012153 	0.000259	0.532511	0.020212	0.000711	0.019482                                                                           	0.821776
131072	 	12.288953 	0.000519	0.025313 	0.000558	3.296118	0.043819	0.001603	0.045804                                                                                     	3.398250
